Timestamp,involvement,department,whowerestudents,whowerepresenters,coursecontent,useful,involved01,dept01,students01,presenters01,researchpres01,basicsciskills01,basicresskills01,careeradvice01,introtoresarea01,paperdiscdeptfac01,paperdiscclassics01,topicsum,useful01
1/24/2017 11:06:44,student,biology,just grad students,faculty and grad students,research presentations,?,1,2,1,2,1,0,0,0,0,0,0,1,?
1/24/2017 9:35:10,presenter,ecology and evolutionary biology,just grad students,just faculty,"research presentations, basic science skills (e.g., how to make a poster), career advice and prospects, introduction to a general research area (e.g., ecology), discussion of papers written by department faculty, discussion of classic/important papers in the field",?,2,1,1,1,1,1,0,1,1,1,1,6,?
1/24/2017 20:12:52,student,ecology and evolutionary biology,just grad students,just faculty,"basic research skills (e.g., how to extract DNA)",no,1,1,1,1,0,0,1,0,0,0,0,1,2
1/24/2017 12:42:54,presenter,biology,just grad students,just faculty,"basic science skills (e.g., how to make a poster), career advice and prospects",no,2,2,1,1,0,1,0,1,0,0,0,2,2
1/24/2017 20:13:24,presenter,biology,just grad students,just faculty,"basic science skills (e.g., how to make a poster), career advice and prospects",no,2,2,1,1,0,1,0,1,0,0,0,2,2
1/25/2017 0:50:29,presenter,natural resources,just grad students,just faculty,"basic science skills (e.g., how to make a poster), career advice and prospects, introduction to a general research area (e.g., ecology)",no,2,4,1,1,0,1,0,1,1,0,0,3,2
1/24/2017 16:47:50,student,ecology and evolutionary biology,just grad students,faculty and grad students,career advice and prospects,no,1,1,1,2,0,0,0,1,0,0,0,1,2
1/24/2017 9:30:24,student,ecology and evolutionary biology,just grad students,just faculty,"career advice and prospects, introduction to a general research area (e.g., ecology)",no,1,1,1,1,0,0,0,1,1,0,0,2,2
1/25/2017 13:38:01,student,ecology and evolutionary biology,just grad students,just faculty,"discussion of papers written by department faculty, discussion of classic/important papers in the field",no,1,1,1,1,0,0,0,0,0,1,1,2,2
1/24/2017 8:12:13,student,ecology and evolutionary biology,just grad students,"faculty, grad students, and people outside academia","introduction to a general research area (e.g., ecology)",no,1,1,1,3,0,0,0,0,1,0,0,1,2
1/24/2017 15:37:08,presenter,ecology and evolutionary biology,just grad students,just faculty,"introduction to a general research area (e.g., ecology)",no,2,1,1,1,0,0,0,0,1,0,0,1,2
1/24/2017 18:43:27,student,ecology and evolutionary biology,just grad students,just faculty,"introduction to a general research area (e.g., ecology)",no,1,1,1,1,0,0,0,0,1,0,0,1,2
1/25/2017 4:43:09,student,other,just grad students,just faculty,"introduction to a general research area (e.g., ecology)",no,1,5,1,1,0,0,0,0,1,0,0,1,2
1/24/2017 23:27:12,student,ecology and evolutionary biology,just undergrads,just faculty,"introduction to a general research area (e.g., ecology)",no,1,1,2,1,0,0,0,0,1,0,0,1,2
1/24/2017 10:02:34,student,other,just undergrads,just faculty,"introduction to a general research area (e.g., ecology)",no,1,5,2,1,0,0,0,0,1,0,0,1,2
1/24/2017 7:54:30,student,ecology and evolutionary biology,just grad students,faculty and grad students,research presentations,no,1,1,1,2,1,0,0,0,0,0,0,1,2
1/24/2017 13:27:58,student,ecology and evolutionary biology,just grad students,just faculty,research presentations,no,1,1,1,1,1,0,0,0,0,0,0,1,2
1/24/2017 11:12:38,student,molecular & cell biology,just grad students,just faculty,research presentations,no,1,3,1,1,1,0,0,0,0,0,0,1,2
1/24/2017 8:09:52,student,other,just grad students,just faculty,research presentations,no,1,5,1,1,1,0,0,0,0,0,0,1,2
1/24/2017 15:35:09,student,other,just grad students,just faculty,research presentations,no,1,5,1,1,1,0,0,0,0,0,0,1,2
1/25/2017 0:50:54,presenter,natural resources,just undergrads,just faculty,"research presentations, basic research skills (e.g., how to extract DNA), introduction to a general research area (e.g., ecology)",no,2,4,2,1,1,0,1,0,1,0,0,3,2
1/24/2017 19:21:34,presenter,other,just grad students,just faculty,"research presentations, basic science skills (e.g., how to make a poster)",no,2,5,1,1,1,1,0,0,0,0,0,2,2
1/24/2017 11:05:04,student,natural resources,just grad students,just faculty,"research presentations, basic science skills (e.g., how to make a poster), career advice and prospects",no,1,4,1,1,1,1,0,1,0,0,0,3,2
1/24/2017 9:19:47,student,ecology and evolutionary biology,just grad students,just faculty,"research presentations, basic science skills (e.g., how to make a poster), career advice and prospects, introduction to a general research area (e.g., ecology), discussion of papers written by department faculty, discussion of classic/important papers in the field",no,1,1,1,1,1,1,0,1,1,1,1,6,2
